x	Y_20181208_15694_3_19g	Y_20181208_15694_5_7g
0	28890.6289	32729.0938
0.1334	28589.7227	33769.4336
0.2668	26645.7012	32596.4199
0.4003	27900.1758	31079.4902
0.5337	29576.2988	29856.834
0.6671	29919.9883	32091.2559
0.8005	30522.1953	32119.0723
0.934	29137.4531	31290.0469
1.0674	29819.5156	31351.1445
1.2008	29999.6895	30969.1797
1.3342	29769.1875	32942.2656
1.4676	28607.6602	33971.6641
1.6011	29445.3281	34133.3594
1.7345	29306.375	34686.8828
1.8679	28138.5508	34108.2734
2.0013	28397.293	33608.6602
2.1347	29056.9062	33988.3398
2.2682	27989.3926	34205.4727
2.4016	29616.2227	35088.9023
2.535	31389.3184	35993.625
2.6684	33464.4102	34448.168
2.8019	36944.9922	34323.1719
2.9353	37964.8594	34644.2812
3.0687	36047.7227	36129.6289
3.2021	31694.2305	40481.0859
3.3355	29726.127	46245.6836
3.469	28815.5098	54489.418
3.6024	29541.6797	57211.5391
3.7358	28498.5215	65363.5469
3.8692	NaN	81680.3047
4.0027	NaN	85060.1953
4.1361	NaN	63328.2344
4.2695	NaN	45155.8242
4.4029	NaN	37476.4648
4.5363	NaN	32794.4375
4.6698	NaN	NaN
4.8032	NaN	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
